SIHD_INV_DATE,QTY
2019-04-07,1386
2019-04-14,2268
2019-04-21,2100
2019-04-28,2436
2019-05-05,2310
2019-05-12,2520
2019-05-19,1806
2019-05-26,2310
2019-06-02,1680
2019-06-09,1596
2019-06-16,2184
2019-06-23,1848
2019-06-30,1806
2019-07-07,2394
2019-07-14,756
2019-07-21,1764
2019-07-28,2352
2019-08-04,1092
2019-08-11,1260
2019-08-18,882
2019-08-25,1680
2019-09-01,714
2019-09-08,1218
2019-09-15,1554
2019-09-22,924
2019-09-29,1848
2019-10-06,1218
2019-10-13,882
2019-10-20,1176
2019-10-27,714
2019-11-03,798
2019-11-10,1092
2019-11-17,1470
2019-11-24,1428
2019-12-01,840
2019-12-08,630
2019-12-15,1134
2019-12-22,1134
2019-12-29,798
2020-01-05,630
2020-01-12,336
2020-01-19,1302
2020-01-26,1050
2020-02-02,1260
2020-02-09,1596
2020-02-16,1470
2020-02-23,1260
2020-03-01,1638
2020-03-08,2520
2020-03-15,2310
2020-03-22,1596
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,630
2020-06-07,630
2020-06-14,798
2020-06-21,798
2020-06-28,1008
2020-07-05,1176
2020-07-12,1302
2020-07-19,798
2020-07-26,966
2020-08-02,1134
2020-08-09,1176
2020-08-16,1008
2020-08-23,798
2020-08-30,84
2020-09-06,1176
2020-09-13,1092
2020-09-20,1344
2020-09-27,1638
2020-10-04,1176
2020-10-11,1428
2020-10-18,1764
2020-10-25,1176
2020-11-01,1470
2020-11-08,1722
2020-11-15,1806
2020-11-22,1134
2020-11-29,1092
2020-12-06,504
2020-12-13,882
2020-12-20,1722
2020-12-27,504
2021-01-03,462
2021-01-10,672
2021-01-17,126
2021-01-24,1596
2021-01-31,1848
2021-02-07,2184
2021-02-14,2142
2021-02-21,2310
2021-02-28,1974
2021-03-07,2058
2021-03-14,1470
2021-03-21,1806
2021-03-28,1848
2021-04-04,1470
2021-04-11,1974
2021-04-18,1680
2021-04-25,1848
2021-05-02,126
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,966
2021-06-06,0
2021-06-13,1194
2021-06-20,840
2021-06-27,840
2021-07-04,1722
2021-07-11,2814
2021-07-18,2772
2021-07-25,2730
2021-08-01,2100
