,SID,QTY_NAN
0,4/1/2019,336
1,4/2/2019,
2,4/3/2019,756
3,4/4/2019,84
4,4/5/2019,168
5,4/6/2019,
6,4/7/2019,42
7,4/8/2019,378
8,4/9/2019,420
9,4/10/2019,588
10,4/11/2019,252
11,4/12/2019,210
12,4/13/2019,
13,4/14/2019,420
14,4/15/2019,420
15,4/16/2019,420
16,4/17/2019,462
17,4/18/2019,
18,4/19/2019,378
19,4/20/2019,
20,4/21/2019,420
21,4/22/2019,672
22,4/23/2019,546
23,4/24/2019,210
24,4/25/2019,
25,4/26/2019,546
26,4/27/2019,126
27,4/28/2019,336
28,4/29/2019,420
29,4/30/2019,420
30,5/1/2019,
31,5/2/2019,756
32,5/3/2019,294
33,5/4/2019,
34,5/5/2019,420
35,5/6/2019,882
36,5/7/2019,462
37,5/8/2019,378
38,5/9/2019,336
39,5/10/2019,252
40,5/11/2019,
41,5/12/2019,210
42,5/13/2019,252
43,5/14/2019,210
44,5/15/2019,504
45,5/16/2019,546
46,5/17/2019,294
47,5/18/2019,
48,5/19/2019,
49,5/20/2019,252
50,5/21/2019,504
51,5/22/2019,672
52,5/23/2019,630
53,5/24/2019,252
54,5/25/2019,
55,5/26/2019,
56,5/27/2019,126
57,5/28/2019,210
58,5/29/2019,630
59,5/30/2019,504
60,5/31/2019,210
61,6/1/2019,
62,6/2/2019,
63,6/3/2019,168
64,6/4/2019,420
65,6/5/2019,336
66,6/6/2019,420
67,6/7/2019,126
68,6/8/2019,126
69,6/9/2019,
70,6/10/2019,210
71,6/11/2019,420
72,6/12/2019,420
73,6/13/2019,924
74,6/14/2019,168
75,6/15/2019,
76,6/16/2019,42
77,6/17/2019,210
78,6/18/2019,126
79,6/19/2019,546
80,6/20/2019,336
81,6/21/2019,420
82,6/22/2019,
83,6/23/2019,210
84,6/24/2019,336
85,6/25/2019,84
86,6/26/2019,126
87,6/27/2019,210
88,6/28/2019,630
89,6/29/2019,
90,6/30/2019,420
91,7/1/2019,420
92,7/2/2019,840
93,7/3/2019,420
94,7/4/2019,336
95,7/5/2019,210
96,7/6/2019,
97,7/7/2019,168
98,7/8/2019,210
99,7/9/2019,168
100,7/10/2019,
101,7/11/2019,
102,7/12/2019,210
103,7/13/2019,
104,7/14/2019,168
105,7/15/2019,84
106,7/16/2019,504
107,7/17/2019,336
108,7/18/2019,378
109,7/19/2019,294
110,7/20/2019,
111,7/21/2019,168
112,7/22/2019,462
113,7/23/2019,756
114,7/24/2019,336
115,7/25/2019,420
116,7/26/2019,210
117,7/27/2019,
118,7/28/2019,168
119,7/29/2019,210
120,7/30/2019,588
121,7/31/2019,168
122,8/1/2019,126
123,8/2/2019,
124,8/3/2019,
125,8/4/2019,
126,8/5/2019,294
127,8/6/2019,294
128,8/7/2019,336
129,8/8/2019,
130,8/9/2019,336
131,8/10/2019,
132,8/11/2019,
133,8/12/2019,420
134,8/13/2019,210
135,8/14/2019,252
136,8/15/2019,
137,8/16/2019,
138,8/17/2019,
139,8/18/2019,
140,8/19/2019,420
141,8/20/2019,504
142,8/21/2019,
143,8/22/2019,84
144,8/23/2019,378
145,8/24/2019,294
146,8/25/2019,
147,8/26/2019,336
148,8/27/2019,168
149,8/28/2019,210
150,8/29/2019,
151,8/30/2019,
152,8/31/2019,
153,9/1/2019,
154,9/2/2019,
155,9/3/2019,
156,9/4/2019,
157,9/5/2019,252
158,9/6/2019,966
159,9/7/2019,
160,9/8/2019,
161,9/9/2019,
162,9/10/2019,588
163,9/11/2019,
164,9/12/2019,672
165,9/13/2019,
166,9/14/2019,294
167,9/15/2019,
168,9/16/2019,126
169,9/17/2019,
170,9/18/2019,252
171,9/19/2019,210
172,9/20/2019,336
173,9/21/2019,
174,9/22/2019,
175,9/23/2019,84
176,9/24/2019,252
177,9/25/2019,420
178,9/26/2019,336
